source,catalog,instrument,numax_table_url,dnu_table_url,teff_table_url,readme_url,ads_url,teff_ads_url,id_column,numax_column,e_numax_column,dnu_column,e_dnu_column,teff_column,e_teff_column,expected_targets
Chaplin+2014,KIC,Kepler,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/210/1/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/210/1/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/210/1/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/210/1/ReadMe,https://ui.adsabs.harvard.edu/abs/2014ApJS..210....1C,,KIC,numax,e_numax,Dnu,e_Dnu,,,518
Dreau+2021,KIC,Kepler,https://cdsarc.cds.unistra.fr/ftp/J/A+A/650/A115/tablec1.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/A+A/650/A115/tablec1.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/A+A/650/A115/tablec1.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/A+A/650/A115/ReadMe,https://ui.adsabs.harvard.edu/abs/2021A%26A...650A.115D,,KIC,,,Dnu,,Teff,,2103
Mackereth+2021,TIC,TESS,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/502/1947/tabled1.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/502/1947/tabled1.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/502/1947/tabled1.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/502/1947/ReadMe,https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.1947M,,TIC,numaxmean,e_numaxmean,dnumean,e_dnumean,TeffAPO,e_TeffAPO,12257
Mathur+2022,KIC,Kepler,https://cdsarc.cds.unistra.fr/ftp/J/A+A/657/A31/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/657/A31/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/657/A31/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/657/A31/ReadMe,https://ui.adsabs.harvard.edu/abs/2022A%26A...657A..31M,,KIC,numax,e_numax,Dnu,e_Dnu,Teff,e_Teff,99
Pinsonneault+2025,KIC,Kepler,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/276/69/table4.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/276/69/table4.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/276/69/table4.dat.gz,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/276/69/ReadMe,https://ui.adsabs.harvard.edu/abs/2025ApJS..276...69P,,KIC,Numax,e_Numax,DNu,e_DNu,Teff,e_Teff,14533
SilvaAguirre+2020,TIC,TESS,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/889/L34/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/889/L34/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/889/L34/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/889/L34/ReadMe,https://ui.adsabs.harvard.edu/abs/2020ApJ...889L..34S,,TIC,numax,e_numax,Delnu,e_Delnu,Teff,e_Teff,24
Sreenivas+2026,TIC,TESS,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/548/G671/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/548/G671/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/548/G671/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/MNRAS/548/G671/ReadMe,https://ui.adsabs.harvard.edu/abs/2026MNRAS.548ag671S,,TIC,numax,e_numax,deltanu,e_deltanu,Teff,e_Teff,19151
Serenelli+2017,KIC,Kepler,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/233/23/table3.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/233/23/table3.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/233/23/table4.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJS/233/23/ReadMe,https://ui.adsabs.harvard.edu/abs/2017ApJS..233...23S,,KIC,numax,e_numax,Dnu,e_Dnu,Teff,e_Teff,415
Huber+2013,KIC,Kepler,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/767/127/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/767/127/table1.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/767/127/table2.dat,https://cdsarc.cds.unistra.fr/ftp/J/ApJ/767/127/ReadMe,https://ui.adsabs.harvard.edu/abs/2013ApJ...767..127H/,,KIC,numax,e_numax,Delnu,e_Delnu,Teff,e_Teff,77
Vrard+2016,KIC,Kepler,,https://cdsarc.cds.unistra.fr/ftp/J/A+A/588/A87/table2.dat,,https://cdsarc.cds.unistra.fr/ftp/J/A+A/588/A87/ReadMe,https://ui.adsabs.harvard.edu/abs/2016A%26A...588A..87V,,KIC,,,Dnu,,,,6111
