ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
TIC100011351,TESS,TESS/TIC100011351.pow,1532.0,38.0,74.0,2.1,,120.0,0.70826244,0.1,10
TIC105999792,TESS,TESS/TIC105999792.pow,2358.0,74.0,112.2,0.7,5534.0,120.0,0.9080596,0.1,10
TIC11310083,TESS,TESS/TIC11310083.pow,2142.0,90.0,107.4,1.8,6237.0,120.0,0.7007799,0.1,10
TIC116988032,TESS,TESS/TIC116988032.pow,1855.0,33.0,89.6,0.4,6082.0,120.0,0.78206515,0.1,10
TIC118034753,TESS,TESS/TIC118034753.pow,781.0,23.0,46.6,1.7,6054.0,120.0,0.7006483,0.1,10
TIC118247219,TESS,TESS/TIC118247219.pow,574.0,19.0,34.6,1.2,6248.0,120.0,0.72310543,0.1,10
TIC122555698,TESS,TESS/TIC122555698.pow,1374.0,27.0,69.7,0.7,5763.0,120.0,0.82454205,0.1,10
TIC122556844,TESS,TESS/TIC122556844.pow,1227.0,37.0,63.2,1.5,6249.0,120.0,0.64276505,0.1,10
TIC123699670,TESS,TESS/TIC123699670.pow,708.0,6.0,41.1,0.3,5402.0,120.0,0.9491048,0.1,10
TIC130645536,TESS,TESS/TIC130645536.pow,1989.0,98.0,101.8,0.7,,120.0,0.8057289,0.1,10
TIC136915882,TESS,TESS/TIC136915882.pow,749.0,25.0,41.0,1.2,6300.0,120.0,0.6681161,0.1,10
TIC136916387,TESS,TESS/TIC136916387.pow,2689.0,138.0,123.0,0.9,5679.0,120.0,0.8367486,0.1,10
TIC139298196,TESS,TESS/TIC139298196.pow,2485.0,97.0,114.9,1.1,5824.0,120.0,0.82859325,0.1,10
TIC141523112,TESS,TESS/TIC141523112.pow,2416.0,128.0,113.9,1.5,6189.0,120.0,0.6893873,0.1,10
TIC141810080,TESS,TESS/TIC141810080.pow,3237.0,77.0,140.4,0.1,5603.0,120.0,0.88797426,0.1,10
TIC141969034,TESS,TESS/TIC141969034.pow,1189.0,86.0,66.1,1.2,6092.0,120.0,0.71011305,0.1,10
TIC142103211,TESS,TESS/TIC142103211.pow,1736.0,61.0,87.4,1.4,6407.0,120.0,0.64222145,0.1,10
TIC149672905,TESS,TESS/TIC149672905.pow,2107.0,59.0,104.4,0.9,5578.0,120.0,0.79573345,0.1,10
TIC150226696,TESS,TESS/TIC150226696.pow,779.0,17.0,44.6,0.5,,120.0,0.8285754,0.1,10
TIC152449405,TESS,TESS/TIC152449405.pow,631.0,42.0,34.7,1.3,6242.0,120.0,0.6660423,0.1,10
TIC152738837,TESS,TESS/TIC152738837.pow,3224.0,52.0,136.2,0.7,5521.0,120.0,0.9255285,0.1,10
TIC156157340,TESS,TESS/TIC156157340.pow,1392.0,44.0,69.2,1.0,6066.0,120.0,0.7420006,0.1,10
TIC156890613,TESS,TESS/TIC156890613.pow,1934.0,110.0,94.6,1.7,5867.0,120.0,0.7810364,0.1,10
TIC157364190,TESS,TESS/TIC157364190.pow,1045.0,17.0,58.8,0.7,5585.0,120.0,0.78446794,0.1,10
TIC161825882,TESS,TESS/TIC161825882.pow,722.0,15.0,40.2,0.3,,120.0,0.72880006,0.1,10
