# Table 5 from Mathur et al. 2025 (arXiv:2605.24269)
# Asteroseismic and stellar parameters of candidate stars exhibiting periodic
# auto-correlation functions and dark vertical ridges in their echelle diagrams.
#
# Columns:
#   TIC      : TESS Input Catalog identifier
#   R        : Stellar radius [R_sun]
#   Teff     : Effective temperature [K]
#   numax    : Frequency of maximum power [uHz]
#   Dnu      : Large frequency separation [uHz]
#   PE       : Periodic echelle flag (1=yes, 0=no)
#   SNR      : Signal-to-noise ratio
#   Cadence  : TESS observing cadence
#
# TIC           R       Teff    numax     Dnu     PE  SNR              Cadence
  84332248   0.864   5226.7  3070.21  133.33    1   3.443707238      2min
 314805964   1.147   5270.8  2274.71  115.41    1   3.439693346      2min
  65953626   1.608   5616.8  1222.75   66.33    1   3.626556000      2min+20sec
 402363298   1.081   5086.9  2312.52  170.00    0   4.252623103      2min
 409891396   1.266   5437.5  2400.00  109.00    1   7.771395930      2min+20sec
   9102735   1.627   5578.6  1142.96   67.80    1   3.267807716      2min
   9333731   1.992   5588.0   733.13   43.00    1   4.149027362      2min
 330014070   1.430   5817.6  1682.50   99.00    0   3.101131390      2min
 406430692   0.733   3543.9  1700.10  131.50    0   3.470821167      2min
 211227897   1.298   5828.1  1711.02   76.00    0   3.330173687      2min
 240764948   0.647   3435.7  2166.91  105.00    1   3.894182859      2min
  34115230   0.912   5240.3  3363.51  102.00    0   3.197691186      2min
  79279141   1.318   5835.9  1848.90   64.10    1   3.923868602      2min
  20887793   1.124   5976.8  2108.20   94.50    1   3.016192161      2min
  36596946   0.854   4578.2  3325.50  137.00    1   3.380654612      2min
   4995808   1.740   5615.8   952.65   36.00    1   3.664899277      2min
  83489517   1.050   5088.5  2234.99   87.50    0   3.710662560      2min
  92254955   1.202   5753.7  2250.00  103.00    0   3.660322086      2min
  95565042   0.973   5600.7  2774.66   74.00    1   3.379471087      2min
  97917479   1.232   5733.6  1288.84   80.00    0   3.202157115      2min
 333704881   2.021   5280.5   830.00   31.50    0   4.935405533      2min
 470398112   1.328   6433.8  1850.29   72.50    1   3.636444166      2min
 234516451   1.876   5453.0   977.63   53.83    1   9.460528000      2min+20sec
  97036607   1.033   5467.3  2241.00   75.00    0   3.488465000      20sec
