ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
EPIC201623069,K2,K2/EPIC201623069.pow,1063.997,22.758,58.27,0.575,5827.0,77.0,0.7705087661743164,0.1,10
EPIC201644284,K2,K2/EPIC201644284.pow,881.422,6.457,48.613,0.869,5383.0,77.0,0.9778070449829102,0.1,10
EPIC201725213,K2,K2/EPIC201725213.pow,706.171,9.914,41.199,0.567,5359.0,78.0,1.0213031768798828,0.1,10
EPIC203530127,K2,K2/EPIC203530127.pow,1231.749,19.066,62.04,0.49,6180.0,77.0,0.6871333122253418,0.1,10
EPIC211311380,K2,K2/EPIC211311380.pow,2218.214,35.645,99.935,0.578,6307.0,77.0,0.6479196548461914,0.1,10
EPIC211388537,K2,K2/EPIC211388537.pow,300.949,7.727,21.066,0.396,5021.0,77.0,1.124861717224121,0.1,10
EPIC211401787,K2,K2/EPIC211401787.pow,1764.44,22.988,85.729,0.635,6213.0,77.0,0.6677665710449219,0.1,10
EPIC211403248,K2,K2/EPIC211403248.pow,328.51,5.006,21.508,0.512,5042.0,77.0,1.112696647644043,0.1,10
EPIC211405262,K2,K2/EPIC211405262.pow,420.755,11.261,26.533,0.521,5150.0,82.0,1.088292121887207,0.1,10
EPIC211409088,K2,K2/EPIC211409088.pow,550.899,12.844,33.495,0.484,5198.0,102.0,1.0717802047729492,0.1,10
EPIC211409560,K2,K2/EPIC211409560.pow,277.53,4.256,19.042,0.391,5019.0,77.0,1.1317329406738281,0.1,10
EPIC211411553,K2,K2/EPIC211411553.pow,314.113,8.768,21.424,0.364,4960.0,77.0,1.1526117324829102,0.1,10
EPIC211411922,K2,K2/EPIC211411922.pow,564.775,16.471,33.546,0.74,5216.0,100.0,1.0334959030151367,0.1,10
EPIC211414687,K2,K2/EPIC211414687.pow,204.775,5.2,15.092,0.311,4946.0,77.0,1.1569328308105469,0.1,10
EPIC211416749,K2,K2/EPIC211416749.pow,237.585,3.534,16.732,0.448,4705.0,112.0,1.1517343521118164,0.1,10
EPIC211506655,K2,K2/EPIC211506655.pow,376.75,3.801,24.062,0.467,4956.0,77.0,1.1552190780639648,0.1,10
EPIC211780967,K2,K2/EPIC211780967.pow,1059.629,16.474,58.394,0.475,6471.0,77.0,0.5971317291259766,0.1,10
EPIC211811597,K2,K2/EPIC211811597.pow,184.798,2.987,14.489,0.412,4790.0,77.0,1.1437435150146484,0.1,10
EPIC212026577,K2,K2/EPIC212026577.pow,2525.385,19.851,114.877,0.78,6092.0,77.0,0.7094945907592773,0.1,10
EPIC212053807,K2,K2/EPIC212053807.pow,2993.764,52.333,136.529,1.077,5754.0,77.0,0.8211779594421387,0.1,10
EPIC212291429,K2,K2/EPIC212291429.pow,1753.835,76.128,84.027,3.771,6750.0,77.0,0.5611381530761719,0.1,10
EPIC212305951,K2,K2/EPIC212305951.pow,1951.568,51.636,94.315,0.513,6281.0,77.0,0.6845741271972656,0.1,10
EPIC212306203,K2,K2/EPIC212306203.pow,1739.69,32.209,93.419,0.63,6725.0,77.0,0.5382938385009766,0.1,10
EPIC212340257,K2,K2/EPIC212340257.pow,1889.605,68.219,84.73,0.657,6235.0,77.0,0.7128133773803711,0.1,10
EPIC212478598,K2,K2/EPIC212478598.pow,536.704,4.837,35.597,1.169,5059.0,77.0,1.0661687850952148,0.1,10
EPIC212485100,K2,K2/EPIC212485100.pow,1834.302,21.455,87.455,0.58,6174.0,77.0,0.7238740921020508,0.1,10
EPIC212487676,K2,K2/EPIC212487676.pow,1448.231,14.518,76.56,0.601,6036.0,77.0,0.7188072204589844,0.1,10
EPIC212509747,K2,K2/EPIC212509747.pow,1309.774,18.306,66.325,0.499,6381.0,77.0,0.6240334510803223,0.1,10
EPIC212516207,K2,K2/EPIC212516207.pow,1373.579,20.01,68.257,0.523,6253.0,77.0,0.7260885238647461,0.1,10
EPIC212586030,K2,K2/EPIC212586030.pow,316.679,4.249,21.365,0.49,4887.0,77.0,1.2604789733886719,0.1,10
EPIC212617037,K2,K2/EPIC212617037.pow,879.021,27.977,50.911,0.514,6539.0,77.0,0.6075077056884766,0.1,10
EPIC212624487,K2,K2/EPIC212624487.pow,3025.209,33.563,132.357,0.784,6065.0,77.0,0.7142252922058105,0.1,10
EPIC212636554,K2,K2/EPIC212636554.pow,1310.789,26.144,66.295,0.496,6360.0,77.0,0.6328015327453613,0.1,10
EPIC212683142,K2,K2/EPIC212683142.pow,806.143,8.267,45.616,0.557,5900.0,77.0,0.7777299880981445,0.1,10
EPIC212692724,K2,K2/EPIC212692724.pow,1233.203,12.686,66.324,0.538,6170.0,77.0,0.6689691543579102,0.1,10
EPIC212698976,K2,K2/EPIC212698976.pow,703.155,7.434,42.262,0.552,5883.0,77.0,0.7627458572387695,0.1,10
EPIC212708252,K2,K2/EPIC212708252.pow,2896.664,21.682,133.162,0.773,5616.0,77.0,0.8717880249023438,0.1,10
EPIC212709512,K2,K2/EPIC212709512.pow,1208.055,13.092,65.325,0.554,6004.0,77.0,0.7261629104614258,0.1,10
EPIC212709737,K2,K2/EPIC212709737.pow,1717.351,68.558,78.124,0.468,6567.0,77.0,0.5958976745605469,0.1,10
EPIC212710665,K2,K2/EPIC212710665.pow,1287.161,11.952,68.095,0.565,6013.0,77.0,0.7245597839355469,0.1,10
EPIC212728118,K2,K2/EPIC212728118.pow,761.25,25.03,40.897,0.411,6378.0,77.0,0.6416997909545898,0.1,10
EPIC212772187,K2,K2/EPIC212772187.pow,1846.891,34.923,88.012,0.578,6329.0,77.0,0.6350460052490234,0.1,10
EPIC212819198,K2,K2/EPIC212819198.pow,1259.234,33.692,66.427,0.476,6434.0,77.0,0.615361213684082,0.1,10
EPIC213332010,K2,K2/EPIC213332010.pow,1324.652,10.966,70.776,0.571,5963.0,77.0,0.7355179786682129,0.1,10
EPIC213554577,K2,K2/EPIC213554577.pow,2044.427,24.879,93.644,0.739,6311.0,77.0,0.6329174041748047,0.1,10
EPIC213841509,K2,K2/EPIC213841509.pow,1886.931,20.057,93.393,0.612,5988.0,77.0,0.7403783798217773,0.1,10
EPIC214073502,K2,K2/EPIC214073502.pow,2720.063,33.515,120.723,0.801,5855.0,77.0,0.8205223083496094,0.1,10
EPIC214155925,K2,K2/EPIC214155925.pow,722.95,17.669,43.512,0.479,6106.0,77.0,0.7590122222900391,0.1,10
EPIC215035735,K2,K2/EPIC215035735.pow,1201.375,15.087,62.973,0.509,6147.0,77.0,0.7102789878845215,0.1,10
EPIC216228024,K2,K2/EPIC216228024.pow,3024.376,48.339,126.301,0.853,5758.0,77.0,0.8385553359985352,0.1,10
EPIC219179379,K2,K2/EPIC219179379.pow,1590.67,17.851,81.674,0.583,6271.0,77.0,0.6336708068847656,0.1,10
EPIC220222356,K2,K2/EPIC220222356.pow,226.112,3.653,16.268,0.504,4918.0,77.0,1.142059326171875,0.1,10
EPIC220292272,K2,K2/EPIC220292272.pow,1242.752,24.853,68.555,0.682,6404.0,77.0,0.6082367897033691,0.1,10
EPIC220374993,K2,K2/EPIC220374993.pow,2056.826,25.078,94.051,0.628,6290.0,77.0,0.6479220390319824,0.1,10
EPIC220437625,K2,K2/EPIC220437625.pow,428.34,3.593,27.086,0.885,5057.0,77.0,1.0844249725341797,0.1,10
EPIC220623859,K2,K2/EPIC220623859.pow,2232.047,18.929,105.335,0.754,5949.0,77.0,0.7521891593933105,0.1,10
EPIC221823709,K2,K2/EPIC221823709.pow,1523.661,18.063,74.436,0.546,6393.0,149.0,0.6215076446533203,0.1,10
EPIC224535896,K2,K2/EPIC224535896.pow,1824.606,11.101,92.032,0.676,5771.0,120.0,0.8065996170043945,0.1,10
EPIC226083290,K2,K2/EPIC226083290.pow,2398.978,50.049,102.383,0.787,6204.0,42.0,0.6873378753662109,0.1,10
EPIC226464131,K2,K2/EPIC226464131.pow,2984.288,58.037,131.562,0.676,5995.0,77.0,0.770655632019043,0.1,10
EPIC228704734,K2,K2/EPIC228704734.pow,1292.572,26.276,65.455,0.515,6341.0,77.0,0.6553692817687988,0.1,10
EPIC228720824,K2,K2/EPIC228720824.pow,2693.646,53.992,121.84,0.577,6170.0,77.0,0.6414628028869629,0.1,10
EPIC228737206,K2,K2/EPIC228737206.pow,561.386,8.65,32.89,0.458,5531.0,77.0,0.8992071151733398,0.1,10
EPIC228739655,K2,K2/EPIC228739655.pow,934.685,8.541,51.778,1.017,5630.0,77.0,0.8594398498535156,0.1,10
EPIC228759924,K2,K2/EPIC228759924.pow,810.092,17.993,49.922,0.458,6425.0,77.0,0.5943779945373535,0.1,10
EPIC228775782,K2,K2/EPIC228775782.pow,2022.721,32.364,93.868,0.657,5750.0,77.0,0.8205013275146484,0.1,10
EPIC228789925,K2,K2/EPIC228789925.pow,1123.927,8.482,60.703,0.636,5703.0,77.0,0.8324770927429199,0.1,10
EPIC228818122,K2,K2/EPIC228818122.pow,1613.397,32.193,77.575,2.908,6504.0,77.0,0.5802345275878906,0.1,10
EPIC228837389,K2,K2/EPIC228837389.pow,552.51,5.862,35.307,0.617,5342.0,77.0,0.927497386932373,0.1,10
EPIC228984381,K2,K2/EPIC228984381.pow,1185.413,9.311,62.834,0.6,5802.0,77.0,0.7872710227966309,0.1,10
EPIC229110376,K2,K2/EPIC229110376.pow,500.77,10.051,30.629,0.36,5307.0,77.0,0.9812817573547363,0.1,10
EPIC229159911,K2,K2/EPIC229159911.pow,845.771,23.893,42.029,0.553,6422.0,77.0,0.6128549575805664,0.1,10
EPIC230748783,K2,K2/EPIC230748783.pow,2263.764,21.499,104.225,0.921,5664.0,77.0,0.8683862686157227,0.1,10
