ID,dataset,iFile,Numax,Numax_err,Dnu,Dnu_err,Teff,Teff_err,bprp,bprp_err,N_p
TIC9728611,TESS,TESS/TIC9728611.pow,2241.0,85.0,106.2,1.0,5669.0,100.0,0.8206105,0.1,10
TIC20601206,TESS,TESS/TIC20601206.pow,2902.0,132.0,127.4,1.7,5975.0,100.0,0.77946234,0.1,10
TIC22516402,TESS,TESS/TIC22516402.pow,1950.0,40.0,96.2,0.6,6085.0,100.0,0.7627907,0.1,10
TIC26884478,TESS,TESS/TIC26884478.pow,1870.0,73.0,91.9,0.9,6181.0,100.0,0.6541314,0.1,10
TIC27014182,TESS,TESS/TIC27014182.pow,1759.0,122.0,82.8,0.5,6914.0,100.0,0.5560627,0.1,10
TIC27533341,TESS,TESS/TIC27533341.pow,2236.0,97.0,103.5,1.1,5812.0,100.0,0.8132467,0.1,10
TIC32500750,TESS,TESS/TIC32500750.pow,691.0,43.0,38.9,1.3,5907.0,100.0,0.63737917,0.1,10
TIC41195655,TESS,TESS/TIC41195655.pow,702.0,176.0,40.6,0.9,5312.0,100.0,1.0455055,0.1,10
TIC48194330,TESS,TESS/TIC48194330.pow,752.0,11.0,43.5,0.3,5317.0,100.0,1.0035467,0.1,10
TIC58445695,TESS,TESS/TIC58445695.pow,1484.0,36.0,78.6,1.5,6179.0,100.0,0.64211273,0.1,10
TIC123699670,TESS,TESS/TIC123699670.pow,708.0,6.0,41.1,0.1,5402.0,100.0,0.9491048,0.1,10
TIC130645536,TESS,TESS/TIC130645536.pow,1989.0,98.0,101.8,0.7,5691.0,100.0,0.8057289,0.1,10
TIC149672905,TESS,TESS/TIC149672905.pow,2107.0,59.0,104.4,0.9,5578.0,100.0,0.79573345,0.1,10
TIC161825882,TESS,TESS/TIC161825882.pow,722.0,15.0,40.2,0.3,6051.0,100.0,0.72880006,0.1,10
TIC170225363,TESS,TESS/TIC170225363.pow,1279.0,66.0,69,0.9,6403.0,100.0,0.62668896,0.1,10
TIC219420836,TESS,TESS/TIC219420836.pow,852.0,16.0,49.6,0.2,6052.0,100.0,0.676816,0.1,10
TIC219777482,TESS,TESS/TIC219777482.pow,3058.0,23.0,132.9,0.2,5849.0,100.0,0.8121557,0.1,10
TIC232563914,TESS,TESS/TIC232563914.pow,1081.0,44.0,59.1,1.2,6130.0,100.0,0.7265644,0.1,10
TIC233121747,TESS,TESS/TIC233121747.pow,1312.0,16.0,69.6,0.2,6377.0,100.0,0.61844873,0.1,10
TIC233195546,TESS,TESS/TIC233195546.pow,1999.0,55.0,88.3,2.0,6637.0,100.0,0.60217667,0.1,10
TIC233503400,TESS,TESS/TIC233503400.pow,1689.0,49.0,82.2,1.5,6524.0,100.0,0.5732031,0.1,10
TIC236871353,TESS,TESS/TIC236871353.pow,716.0,14.0,40.2,0.6,6519.0,100.0,0.6730161,0.1,10
TIC255630992,TESS,TESS/TIC255630992.pow,932.0,165.0,49.7,1.2,6124.0,100.0,0.7039294,0.1,10
TIC259237827,TESS,TESS/TIC259237827.pow,4217.0,67.0,182.2,1.2,5271.0,100.0,0.9943154,0.1,10
TIC289622310,TESS,TESS/TIC289622310.pow,2313.0,493.0,114.8,3.5,6311.0,100.0,0.67635536,0.1,10
TIC308844962,TESS,TESS/TIC308844962.pow,1386.0,27.0,71.6,0.6,6758.0,100.0,0.6141262,0.1,10
TIC341873045,TESS,TESS/TIC341873045.pow,2314.0,24.0,108.4,0.1,6038.0,100.0,0.83912826,0.1,10
TIC354552931,TESS,TESS/TIC354552931.pow,544.0,42.0,33.7,0.4,5944.0,100.0,0.769763,0.1,10
TIC372914091,TESS,TESS/TIC372914091.pow,3006.0,20.0,128.5,0.3,6070.0,100.0,0.74453115,0.1,10
TIC403585118,TESS,TESS/TIC403585118.pow,3174.0,201.0,138.5,2.8,5905.0,100.0,0.77145576,0.1,10
TIC405902259,TESS,TESS/TIC405902259.pow,1353.0,146.0,69.2,2.3,6518.0,100.0,0.5734205,0.1,10
TIC421444084,TESS,TESS/TIC421444084.pow,958.0,22.0,53.6,0.4,6197.0,100.0,0.71885467,0.1,10
TIC441804568,TESS,TESS/TIC441804568.pow,1232.0,19.0,61.8,0.3,6459.0,100.0,0.6082969,0.1,10
TIC441813918,TESS,TESS/TIC441813918.pow,705.0,6.0,42.1,0.3,6078.0,100.0,0.6902814,0.1,10
