Name,Catalog,νmax (μHz),νmax_error (μHz),Δν (μHz),Δν_error (μHz),Source,Source ADS,Teff (K),Teff_error (K),Teff Source ,Teff Source ADS,Instrument,Completed entry
70 Oph A,Flamsteed,4500,,161.7,0.3,Carrier+2006,https://ui.adsabs.harvard.edu/abs/2006A%26A...450..695C,5300,,Carrier+2006,https://ui.adsabs.harvard.edu/abs/2006A%26A...450..695C,HARPS@ESO3.6m,1
8 UMi,Flamsteed,45.29,0.43,4.8,0.12,Hon+2023,https://ui.adsabs.harvard.edu/abs/2023Natur.618..917H,4847,100,Hon+2023,https://ui.adsabs.harvard.edu/abs/2023Natur.618..917H,Various ground and space based,1
alpha Cen A,Bayer,,,,,Butler+2004,,,,,,,0
alpha Cen A,Bayer,2350,,105.9,0.3,Bazot+2007,https://ui.adsabs.harvard.edu/abs/2007CoAst.150..141B,5830,30,Neuforge-Verheecke+1997,https://ui.adsabs.harvard.edu/abs/1997A%26A...328..261N,Various ground based,1
alpha Cen A,Bayer,2410,130,106.2,0.1,Kjeldsen+2005,https://ui.adsabs.harvard.edu/abs/2005ApJ...635.1281K,,,,,Various ground based,1
alpha Cen B,Bayer,4090,170,161.38,0.06,Kjeldsen+2005,https://ui.adsabs.harvard.edu/abs/2005ApJ...635.1281K,5244,13,Soubiran+2022,https://ui.adsabs.harvard.edu/abs/2022A%26A...663A...4S,Various ground based,1
alpha For,Bayer,1100,,60,,Kjeldsen+2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...682.1370K,,,,,Various ground based,1
alpha Tau,Bayer,2.2,0.25,,,Farr+20218,https://ui.adsabs.harvard.edu/abs/2018ApJ...865L..20F,3900,,Sheffield+2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...761..161S,Various ground and space based,1
Arcturus,Common name,,,1.2,,Merline+1999,,,,,,,0
Arcturus,Common name,4.1,,0.8,,Retter+2002,,,,,,,0
beta Aql,Bayer,410,,29.6,0.2,Kjeldsen+2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...682.1370K,5113,22,Soubiran+2022,https://ui.adsabs.harvard.edu/abs/2022A%26A...663A...4S,Various ground based,1
beta Gem,Bayer,86.8,,,,Hatzes+2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...670L..37H,4850,,McWilliam1990,https://ui.adsabs.harvard.edu/abs/1990ApJS...74.1075M,AJT,1
beta Gem,Bayer,87,,7.14,0.12,Hatzes+2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...543A..98H,4850,,McWilliam1990,https://ui.adsabs.harvard.edu/abs/1990ApJS...74.1075M,AJT,1
